time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
2696	-0.461025	0.395852	1.531928	-11.626	1.127	-1.512	-0.569884	0.139432	-0.429508
2697	-0.468055	0.404295	1.57129	-18.689	-0.87	-2.297	-0.588573	0.138562	-0.431805
2698	-0.472776	0.409909	1.598272	-14.348	-1.201	-1.632	-0.602921	0.137361	-0.433437
2699	-0.477855	0.413294	1.615031	-13.586	-1.811	-1.442	-0.616507	0.13555	-0.434879
2700	-0.486419	0.415819	1.627963	-15.81	-1.316	-1.537	-0.632317	0.134234	-0.436416
2701	-0.513043	0.420086	1.650588	-17.982	-1.497	-1.574	-0.650299	0.132737	-0.43799
2702	-0.524969	0.426486	1.684349	-13.677	-1.139	-1.073	-0.663976	0.131598	-0.439063
2703	-0.536139	0.436375	1.738613	-9.362	-0.779	-0.673	-0.673338	0.130819	-0.439736
2704	-0.543085	0.443573	1.780281	-10.86	-0.258	-0.715	-0.684198	0.130561	-0.440451
2705	-0.547796	0.450054	1.8197	-7.928	-0.663	-0.482	-0.692126	0.129898	-0.440933
2706	-0.555474	0.457199	1.865613	-5.766	-0.483	-0.328	-0.697892	0.129415	-0.441261
2707	-0.564353	0.464788	1.917798	-2.884	-0.241	-0.157	-0.700776	0.129174	-0.441418
2708	-0.570997	0.4702	1.957514	-5.047	-0.422	-0.263	-0.705823	0.128752	-0.441681
2709	-0.575639	0.473712	1.984679	-13.755	-0.52	-0.642	-0.719578	0.128232	-0.442323
2710	-0.582855	0.477597	2.016217	-14.429	-1.213	-0.561	-0.734007	0.127019	-0.442884
2711	-0.586746	0.480315	2.039225	-14.432	-1.213	-0.443	-0.748439	0.125806	-0.443327
2712	-0.589542	0.482223	2.055971	-8.661	-0.729	-0.209	-0.7571	0.125077	-0.443536
2713	-0.590972	0.483155	2.064337	-3.609	-0.303	-0.074	-0.760709	0.124774	-0.44361
2714	-0.593419	0.484754	2.078993	0	0	0	-0.760709	0.124774	-0.44361
2715	-0.602028	0.488887	2.118927	0	0	0	-0.760709	0.124774	-0.44361
2716	-0.609007	0.492883	2.160826	0	0	0	-0.760709	0.124774	-0.44361
2717	-0.61609	0.496523	2.202711	0.721	0.061	0.014	-0.759988	0.124835	-0.443596
2718	-0.62028	0.498538	2.227861	2.888	0.242	0.06	-0.7571	0.125077	-0.443536
2719	-0.622067	0.499341	2.238331	7.939	0.668	0.19	-0.749161	0.125745	-0.443346
2720	-0.622067	0.499341	2.238331	13.711	1.153	0.412	-0.73545	0.126898	-0.442934
2721	-0.622067	0.499341	2.238331	23.137	1.311	0.935	-0.712313	0.128209	-0.441999
2722	-0.622067	0.499341	2.238331	33.879	2.834	1.921	-0.678434	0.131043	-0.440078
2723	-0.621716	0.499182	2.236236	39.59	3.313	3.074	-0.638844	0.134356	-0.437004
2724	-0.620319	0.498538	2.227851	53.082	5.128	5.539	-0.585762	0.139484	-0.431465
2725	-0.616441	0.496696	2.204806	48.544	4.082	7.798	-0.537218	0.143566	-0.423667
2726	-0.609808	0.493261	2.16499	26.63	1.521	6.13	-0.510588	0.145087	-0.417537
2727	-0.596608	0.486745	2.09783	17.649	0.751	8.976	-0.492939	0.145838	-0.408561
2728	-0.58018	0.475552	1.999448	19.157	0.862	11.532	-0.473782	0.1467	-0.397029
2729	-0.560711	0.460004	1.884549	15.357	-0.947	7.019	-0.458425	0.145753	-0.39001
2730	-0.537054	0.434877	1.730398	22.897	-3.372	6.056	-0.435528	0.142381	-0.383954
2731	-0.513119	0.403779	1.589541	23.616	-2.69	5.195	-0.411912	0.139691	-0.378759
2732	-0.498119	0.381115	1.512201	24.945	-2.708	5.852	-0.386967	0.136983	-0.372907
2733	-0.487181	0.351441	1.460996	25.446	-1.238	6.385	-0.361521	0.135745	-0.366522
2734	-0.475702	0.313767	1.40536	31.889	-0.867	9.286	-0.329632	0.134878	-0.357236
2735	-0.461433	0.290346	1.360791	32.092	-0.153	9.3	-0.29754	0.134725	-0.347936
2736	-0.434513	0.268495	1.294287	33.77	-0.937	9.754	-0.26377	0.133788	-0.338182
2737	-0.409172	0.249122	1.225681	29.145	-3.013	9.58	-0.234625	0.130775	-0.328602
2738	-0.38274	0.227553	1.153231	30.282	-2.242	10.565	-0.204343	0.128533	-0.318037
2739	-0.360326	0.204335	1.079331	30.301	1.054	10.515	-0.174042	0.129587	-0.307522
2740	-0.334321	0.171346	0.986714	33.682	0.371	10.956	-0.14036	0.129958	-0.296566
2741	-0.310112	0.138381	0.893551	28.527	0.001	8.728	-0.111833	0.129959	-0.287838
2742	-0.282538	0.103672	0.795463	29.29	-1.784	7.981	-0.082543	0.128175	-0.279857
2743	-0.252	0.070331	0.710838	27.54	-1.981	6.904	-0.055003	0.126194	-0.272953
