time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1465	-6.008639	3.895973	12.610367	-13.027	1.295	-4.257	-0.657805	-0.157773	0.052152
1466	-6.155428	3.997309	12.856798	-13.059	1.298	-4.155	-0.670864	-0.156475	0.047997
1467	-6.307638	4.08965	13.089731	-12.338	1.875	-3.842	-0.683202	-0.1546	0.044155
1468	-6.416002	4.161719	13.27219	-9.665	0.957	-2.926	-0.692867	-0.153643	0.041229
1469	-6.524672	4.231149	13.454976	-9.681	0.959	-2.87	-0.702548	-0.152684	0.038359
1470	-6.6957	4.339206	13.74281	-15.246	1.509	-4.398	-0.717794	-0.151175	0.033961
1471	-6.798293	4.414148	13.915375	-9.14	0.905	-3.156	-0.726934	-0.15027	0.030805
1472	-6.876375	4.461874	14.046604	-6.954	0.689	-1.914	-0.733888	-0.149581	0.028891
1473	-6.946697	4.503478	14.164888	-6.265	0.62	-1.698	-0.740153	-0.148961	0.027193
1474	-7.032605	4.554223	14.309653	-7.665	0.759	-2.044	-0.747818	-0.148202	0.025149
1475	-7.134421	4.612631	14.480915	-9.071	0.898	-2.371	-0.756889	-0.147304	0.022778
1476	-7.196974	4.648588	14.586482	-5.589	0.553	-1.435	-0.762478	-0.146751	0.021343
1477	-7.2519	4.679294	14.678873	-4.893	0.485	-1.24	-0.767371	-0.146266	0.020103
1478	-7.328808	4.710025	14.808888	-6.879	0.681	-1.146	-0.77425	-0.145585	0.018957
1479	-7.399547	4.748594	14.927884	-6.303	0.624	-1.551	-0.780553	-0.144961	0.017406
1480	-7.47016	4.787034	15.04706	-6.308	0.625	-1.528	-0.786861	-0.144336	0.015878
1481	-7.541022	4.824641	15.166265	-6.313	0.625	-1.505	-0.793174	-0.143711	0.014373
1482	-7.635352	4.874388	15.32547	-8.427	0.834	-1.97	-0.801601	-0.142877	0.012403
1483	-7.72214	4.918908	15.471471	-7.733	0.766	-1.77	-0.809334	-0.142111	0.010633
1484	-7.800837	4.959052	15.604447	-7.037	0.696	-1.578	-0.816371	-0.141415	0.009055
1485	-7.871972	4.994402	15.724121	-6.338	0.628	-1.396	-0.822709	-0.140787	0.007659
1486	-7.927109	5.02175	15.81737	-4.934	0.488	-1.07	-0.827643	-0.140299	0.006589
1487	-7.974592	5.044795	15.897255	-4.231	0.419	-0.906	-0.831874	-0.13988	0.005683
1488	-8.037727	5.075325	16.003931	-5.644	0.559	-1.191	-0.837518	-0.139321	0.004492
1489	-8.1249	5.116485	16.150594	-7.768	0.769	-1.608	-0.845286	-0.138552	0.002884
1490	-8.21179	5.157085	16.29756	-7.775	0.77	-1.572	-0.853061	-0.137782	0.001312
1491	-8.30706	5.200363	16.457853	-8.489	0.841	-1.676	-0.86155	-0.136941	-0.000364
1492	-8.437031	5.253483	16.65765	-10.568	1.616	-2.036	-0.872118	-0.135325	-0.0024
1493	-8.626067	5.352129	16.956058	-15.804	2.121	-3.981	-0.887922	-0.133204	-0.006381
1494	-8.743168	5.419556	17.134371	-9.438	1.486	-2.725	-0.89736	-0.131718	-0.009106
1495	-8.852878	5.454781	17.280022	-7.713	1.866	-1.327	-0.905073	-0.129852	-0.010433
1496	-8.915898	5.480271	17.38778	-5.693	0.552	-0.943	-0.910766	-0.1293	-0.011376
1497	-8.947721	5.492742	17.441542	-2.847	0.276	-0.464	-0.913613	-0.129024	-0.01184
1498	-9.003184	5.514262	17.535781	-4.984	0.483	-0.802	-0.918597	-0.128541	-0.012642
1499	-9.042991	5.529501	17.603034	-3.562	0.346	-0.564	-0.922159	-0.128195	-0.013206
1500	-9.090524	5.547503	17.683894	-4.276	0.414	-0.667	-0.926435	-0.127781	-0.013873
1501	-9.138326	5.565369	17.764656	-4.277	0.415	-0.656	-0.930712	-0.127366	-0.014529
1502	-9.138185	5.565318	17.764726	0	0	0	-0.930712	-0.127366	-0.014529
1503	-9.135293	5.568324	17.779181	-0.765	-0.471	-0.108	-0.931477	-0.127837	-0.014637
1504	-9.135363	5.568149	17.779156	0	0	0	-0.931477	-0.127837	-0.014637
1505	-9.135363	5.568149	17.779156	0	0	0	-0.931477	-0.127837	-0.014637
1506	-9.135363	5.568149	17.779156	0	0	0	-0.931477	-0.127837	-0.014637
1507	-9.135363	5.568149	17.779156	0	0	0	-0.931477	-0.127837	-0.014637
1508	-9.135363	5.568149	17.779156	0	0	0	-0.931477	-0.127837	-0.014637
1509	-9.143337	5.571099	17.792619	-0.713	0.069	-0.109	-0.93219	-0.127768	-0.014746
1510	-9.143314	5.57109	17.792631	0	0	0	-0.93219	-0.127768	-0.014746
1511	-9.143314	5.57109	17.792631	0	0	0	-0.93219	-0.127768	-0.014746
1512	-9.143314	5.57109	17.792631	0	0	0	-0.93219	-0.127768	-0.014746
1513	-9.143314	5.57109	17.792631	0	0	0	-0.93219	-0.127768	-0.014746
1514	-9.135363	5.568149	17.779156	0.713	-0.069	0.109	-0.931477	-0.127837	-0.014637
1515	-9.09341	5.59617	17.70833	3.751	-0.365	-1.505	-0.927726	-0.128202	-0.016142
